ID;Contex/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortex/natural surface (in general);Cortical piece (>50%);Other comments
S16;An2-10-2-1;Flake;Complete;;29;16;3;Plain;4;2;Absent;Non-visible;;Target central product;In-axis;Hinged;Trapezoidal;Yes;No;None;0;0;Hinged broad bladelet attempt
S17;An2-10-2-1;Flake;Complete;;27;16;6;Plain;10;6;Absent;Diffuse;;;In-axis;Hinged;Triangular;;;None;0;0;Relatively centralised removal of Grat-ueberhang and Interkalationsstellen (quasi-preparational) or failed attempt of intercalated small-pointed removal
1512;An2-10-2-1;Flake;Complete;;44;39;15;Partially Faceted;38;13;Flaking;Pronounced;Straight;Lateral product;In-axis;Hinged;Trapezoidal;No;No;None;0;0;
1511;An2-10-2-1;Flake;Complete;;33;61;8;Faceted;28;6;Abrasion+Flaking;Diffuse;Straight;Preparatory;In-axis;Hinged;;;;None;0;0;"Preparatory flake with remnants of former core edge; rejuventation of core edge from the back of a flank?"
1519;An2-10-2-1;Flake;Complete;;53;58;11;Plain;34;11;Flaking;Pronounced;;;In-axis;Straight;;No;No;None;0;0;Initial shaping flake (without cortext)
TR1-L2-52;An2-10-2-1;Flake;Complete;;45;34;15;Plain;29;13;Absent;Diffuse;Acute pointed;Lateral product;Off-axis right;Straight;Triangular;No;No;None;0;0;
S28;An2-10-2-1;Flake;Complete;;52;37;12;Dihedral;27;8;Abrasion+Flaking;Diffuse;Acute pointed;Lateral product;Off-axis right;Straight;Triangular;No;No;None;0;0;
1530;An2-10-2-1;Flake;Complete;;41;22;4;Partially Faceted;16;4;Absent;Diffuse;;Preparatory;In-axis;Slightly curved;Side blade/débordant;;;None;0;0;Small platform flake/blade correcting a previous larger correction flake
S32;An2-10-2-1;Flake;Complete;;39;30;6;Partially Faceted;31;4;Abrasion;Diffuse;Wide pointed;;In-axis;Curved;;;;None;0;0;
1240;An2-10-2-1;Flake;Complete;;34;23;4;Linear;19;1;Flaking;Diffuse;Wide pointed;Target central product;In-axis;Hinged;Trapezoidal;No;No;None;0;0;
S34;An2-10-2-1;Flake;Complete;;26;16;5;Partially Faceted;10;5;Absent;Diffuse;Wide pointed;Target central product;Off-axis left;Hinged;Trapezoidal;No;Yes;None;0;0;Hinged central flake-blade removing left-overhang
S39;An2-10-2-1;Flake;Complete;;18;19;3;Partially Faceted;15;3;Absent;Diffuse;;;Off-axis left;Twisted;Trapezoidal;;;None;0;0;
1249;An2-10-3-1 (wirklich IUP?);Flake;Complete;;41;25;9;Faceted;18;7;Abrasion;Diffuse;Wide pointed;Target central product;In-axis;Slightly curved;Triangular;No;No;None;0;0;
1238;An2-10-3-1 (wirklich IUP?);Flake;Complete;;40;23;5;Plain;7;5;Flaking;Diffuse;Curved;Target central product;In-axis;Hinged;Trapezoidal;No;No;None;0;0;
S54;An2-10-3-1 (wirklich IUP?);Flake;Complete;;26;16;4;Partially Faceted;15;4;Abrasion;Diffuse;Straight;;Off-axis right;Hinged;Triangular;No;No;None;0;0;Failed central small triangular piece (hinged)
S57;An2-10-3-1 (wirklich IUP?);Flake;Complete;;12;22;5;Cortical/Natural Surface;6;5;Flaking;Diffuse;;Preparatory;In-axis;Straight;;No;No;None;0;0;Super-short and small platform flake with remnants of both platform prep and reduction negatives (micro-preparation)
69;An2-10-4-2;Flake;Complete;;35;23;5;Punctiform;1;1;Absent;Non-visible;Curved;;In-axis;Hinged;Trapezoidal;Yes;No;None;0;0;Proximal freitstellung von punctiform patforms a la en eperon
84;An2-10-4-2;Flake;Complete;;34;21;5;Plain;11;5;Flaking;Diffuse;Straight;Overpass;In-axis;Twisted;Trapezoidal;Yes;No;None;0;0;Elongated overpass flake with nice pointed blade/let scar on dorsal face
102;An2-10-4-2;Flake;Complete;;24;16;8;Plain;14;4;Absent;Pronounced;Straight;Overpass;In-axis;Straight;Trapezoidal;;;None;0;0;
114;An2-10-4-2;Flake;Complete;;10;16;6;Plain;12;6;Abrasion;Non-visible;Straight;Overpass;Off-axis left;Straight;Trapezoidal;No;No;None;0;0;
125;An2-10-4-2;Flake;Complete;;21;28;10;Plain;28;12;Absent;Non-visible;Wide pointed;n/a ;Off-axis right;Twisted;Trapezoidal;Yes;No;None;0;0;Probably preparatory: Setting back of reduction surface angle by slicing away an overhang structure from the main reduction surface
146;An2-10-4-2;Flake;Complete;;22;15;7;Plain;10;4;Abrasion;Diffuse;Wide pointed;Target central product;In-axis;Hinged;Triangular;No;No;None;0;0;Steep overhang ridge removed, failed elongated intercalated removal
177;An2-10-4-2;Flake;Complete;;16;20;5;Plain;7;2;Absent;Pronounced;Straight;Target central product;In-axis;Hinged;Trapezoidal;No;No;None;0;0;
206;An2-10-4-2;Flake;Complete;;17;14;5;Plain;12;5;Abrasion;Pronounced;;Target central product;Off-axis left;Hinged;Trapezoidal;No;No;None;0;0;Failed/hinged central intercalated removals
220;An2-10-4-2;Flake;Complete;;25;30;3;Linear;2;1;Flaking;Diffuse;;Overpass;Off-axis right;Hinged;Trapezoidal;No;No;None;0;0;"Extremely unusual dorsal scar structure; looks like a classic BIFACIAL shaping flake!!!!"
222;An2-10-4-2;Flake;Complete;;19;20;2;Linear;18;1;Flaking;Pronounced;;n/a ;In-axis;Hinged;;No;No;None;0;0;Same RM as 220, could come from the same process and looks also a bit like a shaping flake
2502;An2-2011-1200;Flake;Complete;;35;24;5;Plain;23;5;Flaking;Diffuse;Straight;Lateral product;Off-axis right;Twisted;Side blade/débordant;No;No;None;0;0;Probably failed blade on almost 90degree core-edge (flaked, non-cortical)
244;An2-2011-1200;Flake;Complete;;22;15;5;Plain;14;3;Absent;Pronounced;Wide pointed;Lateral product;In-axis;Twisted;Side blade/débordant;No;No;None;0;0;Convergent core-edge flake (non-cortical core surface)
1555;ANS2-10-1-1;Flake;Complete;;47;62;16;Cortical/Natural Surface;42;14;Absent;Diffuse;;Overpass;In-axis;Twisted;Trapezoidal;;;None;1;0;Buldgy overpass flake with unilateral natural surface and distal cortical remants, suggesting a role in initial core shaping or platform creation
1523;An2-10-2-1;Flake;Complete;;39;51;9;Cortical/Natural Surface;20;7;Abrasion;Diffuse;;Initial Shaping/Decortification;Off-axis left;Twisted;;;;None;1;0;Shaping flake with cortex on lateral edge (striking or flaking surface prep)
1542;An2-10-2-1;Flake;Complete;;38;43;11;Plain;22;10;Absent;Pronounced;;;In-axis;Slightly curved;;No;No;None;1;0;Flank or shaping flake with distal cortext (less than 50%)
1239;An2-10-2-1;Flake;Complete;;35;21;4;Plain;13;3;Absent;Diffuse;Wide pointed;Lateral product;Off-axis right;Hinged;Trapezoidal;No;No;None;1;0;Right-lateral natural surface remnant (not even close to 50%)
TR1-L2-52;An2-10-2-1;Flake;Complete;;20;19;3;Punctiform;1;1;Absent;Diffuse;;;In-axis;Slightly curved;Trapezoidal;;;None;1;0;Tiny bit of cortex
S37;An2-10-2-1;Flake;Complete;;23;25;4;Plain;12;4;Flaking;Diffuse;;Lateral product;In-axis;Hinged;Side blade/débordant;;;None;1;0;Small flake with natural surface edge
1526;An2-10-4-2;Flake;Complete;;34;34;11;Plain;36;11;Flaking;Pronounced;;;Off-axis left;Straight;Side blade/débordant;No;No;None;1;0;Corrective edge-flake (edge has natural surface, but not >50%)
1538;An2-10-4-2;Flake;Complete;;44;26;10;Partially Faceted;20;10;Flaking;Diffuse;;Lateral product;Off-axis left;Twisted;;No;No;None;1;0;Lateral flake with small cortical portion (10-20%)
1579;An2-10-4-2;Flake;Complete;;50;28;12;Shattered;26;10;Flaking;Diffuse;Acute pointed;Lateral product;In-axis;Straight;Triangular;No;Yes;None;1;0;Triangular flake with right-lateral cortex (20-30%)
62;An2-10-4-2;Flake;Complete;;57;34;8;Plain;22;4;Flaking;Non-visible;Irregular;Lateral product;Off-axis right;Curved;Trapezoidal;Yes;No;None;1;0;Distal cortex (20%)
83;An2-10-4-2;Flake;Complete;n/a;23;22;10;Plain;19;10;Absent;Diffuse;Straight;Lateral product;In-axis;Twisted;Side blade/débordant;No;No;None;1;0;
89;An2-10-4-2;Flake;Complete;;42;23;7;Shattered;n/a;n/a;Absent;n/a;Acute pointed;Initial Shaping/Decortification;Off-axis left;Hinged;Triangular;No;No;None;1;0;Almost 50% lateral cortex
110;An2-10-4-2;Flake;Complete;;24;24;10;Plain;15;8;Flaking;Non-visible;Irregular;Lateral product;Off-axis right;Twisted;Trapezoidal;No;No;None;1;0;Right-lateral cortex portion
166;An2-10-4-2;Flake;Complete;;20;25;6;Plain;13;5;Absent;Pronounced;;Lateral product;In-axis;Hinged;Side blade/débordant;No;No;None;1;0;Core-edge flake (natural surface), perhaps to prepare the striking platform
197;An2-10-4-2;Flake;Complete;;24;27;7;Plain;19;7;Flaking;Large Scar;;Preparatory;;Straight;Side blade/débordant;No;No;None;1;0;Platform flake with previous removal to install striking platform and small amout of right-lateral cortex
202;An2-10-4-2;Flake;Complete;;21;17;8;Cortical/Natural Surface;18;8;Absent;Diffuse;;Initial Shaping/Decortification;;Straight;Side blade/débordant;No;No;None;1;0;Edge-flake with tiny portion of cortex
1577;An2-10-2-1;Flake;Complete;;26;49;8;Plain;16;4;Absent;Diffuse;;;In-axis;Slightly curved;;;;None;1;1;Distal curved cortex, ca 50%
TR1-L2-44;An2-10-2-1;Flake;Complete;;27;27;9;Plain;4;9;Absent;Diffuse;;Initial Shaping/Decortification;In-axis;Twisted;;;;None;1;1;Cortical flake (almost 100%)
1581;An2-10-4-2;Flake;Complete;;30;32;11;Plain;24;9;Flaking;Pronounced;;Initial Shaping/Decortification;In-axis;Straight;;;;None;1;1;Cortical flake (almost 100%)
1253;An2-10-4-2;Flake;Complete;;58;41;12;Plain;23;6;Absent;Diffuse;;Initial Shaping/Decortification;Off-axis left;Twisted;;No;No;None;1;1;Cortical flake to extend exploitation surface/open up lateral parts/flanks (ca 60% cortex)
131;An2-10-4-2;Flake;Complete;;24;24;3;Plain;5;2;Absent;Pronounced;;Initial Shaping/Decortification;In-axis;Twisted;;No;No;None;1;1;ca. 50% cortex
139;An2-10-4-2;Flake;Complete;Type 3;39;20;8;Faceted;17;8;Absent;Diffuse;Acute pointed;Lateral product;Off-axis left;Straight;Side blade/débordant;No;No;None;1;1;"ca 50% cortex; cortical edge blady flake"
240;An2-2011-1200;Flake;Complete;;60;57;20;Plain;59;17;Absent;Pronounced;Straight;Initial Shaping/Decortification;Off-axis left;Twisted;;Yes;No;None;1;1;ca 50% cortical thick overpassing initialisation flake, probably for creating a striking platform
1631;An2-10-2-1;Spall;Complete;;38;16;8;Plain;3;3;Flaking;Diffuse;;Preparatory;In-axis;Twisted;Side blade/débordant;;;None;1;1;"Quasi-core edge preserved: either for creating a cutting edge for a tool or for rejuventating the top-front of a reduction surface and extending the reduction area horizontally (removal of substantial amount of cortext); >50% cortex in total; EARLY STAGE REDUCTION"
1605;ANS2-10-1-1;Triangular Bladelet Point;Complete;Type 1;38;16;9;Partially Faceted;16;9;Absent;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;Example of an intercalated bladelet-like product of similar type as the central blade triangular points
S45;An2-10-3-1 (wirklich IUP?);Triangular Bladelet Point;Complete;Type 1;18;11;3;Plain;7;3;Absent;Diffuse;Acute pointed;Target central product;In-axis;Twisted;Trapezoidal;No;No;None;0;0;Pseudo-bladelet from central Grat/intercalated production
1680;ANS2-10-1-1;Triangular Point;Complete;Type 1;41;26;6;Dihedral;16;5;Absent;Diffuse;Acute pointed;Target central product;Off-axis left;Curved;Trapezoidal;Yes;No;None;0;0;
1590;ANS2-10-1-1;Triangular Point;Complete;Type 1;64;39;11;Partially Faceted;25;10;Abrasion;Pronounced;Acute pointed;Target central product;In-axis;Slightly curved;Triangular;No;No;None;0;0;"elongated ""pseudo-Levallois"" Flake"
1248;An2-10-2-1;Triangular Point;Complete;Type 1;38;23;7;Partially Faceted;23;5;Flaking;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;Levallois-point like product
1607;An2-10-2-1;Triangular Point;Complete;Type 1;53;28;9;Partially Faceted;28;8;Abrasion;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;"Levallois-point like product with straight base; intercalated product"
1619;An2-10-2-1;Triangular Point;Complete;Type 1;56;20;7;Partially Faceted;20;8;Absent;Diffuse;Acute pointed;Target central product;In-axis;Hinged;Triangular;Yes;No;None;0;0;Elongated thin triangular point, intercalated production
AN2-02;An2-10-2-1;Triangular Point;Complete;Type 2;62;30;11;Plain;11;3;Flaking;Diffuse;Acute pointed;Target central product;In-axis;Curved;Triangular;Yes;No;None;0;0;"Elongated pointed flake; exotic SPECKI-RM (Chalzedon?)"
1521;An2-10-2-1;Triangular Point;Complete;Type 1;45;27;8;Partially Faceted;15;6;Absent;Diffuse;Wide pointed;Target central product;In-axis;Hinged;Triangular;Yes;No;None;0;0;Other RM/burnt
1535;An2-10-2-1;Triangular Point;Complete;Type 1;68;29;8;Partially Faceted;27;9;Absent;Pronounced;Acute pointed;Target central product;Off-axis left;Slightly curved;Triangular;Yes;No;None;0;0;Typical triangular central product but discarded due to distal quasi-overpass function (removal of overhang)
S24;An2-10-2-1;Triangular Point;Complete;Type 1;36;11;7;Partially Faceted;11;7;Absent;Non-visible;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;Elongated triangle, strict bladelet but no parallel laterals
1596;An2-10-4-2;Triangular Point;Complete;Type 1;37;27;8;Dihedral;21;4;Abrasion;Pronounced;Acute pointed;Target central product;In-axis;Hinged;Trapezoidal;Yes;No;None;0;0;Small pointed Levallois-flake coming from the V-structure in between larger removals with a previous almost-similar size/shaped Levallois-point removal
71;An2-10-4-2;Triangular Point;Complete;Type 1;26;19;5;Partially Faceted;19;6;Absent;Pronounced;Acute pointed;Target central product;In-axis;Straight;Triangular;Yes;No;None;0;0;Small Levallois point-like removal with similar shaped previous removal scar on dorsal face
156;An2-10-4-2;Triangular Point;Complete;Type 1;26;14;9;Plain;15;9;Absent;Non-visible;Acute pointed;Target central product;Off-axis left;Twisted;Triangular;No;No;None;0;0;Triangular steep, V-crosssection product, principally removing the steep remaining ridge (failed intercalated product or core-edge correction)
230;An2-2011-1200;Triangular Point;Complete;Type 1;57;28;13;Plain;18;9;Flaking;Pronounced;Acute pointed;Initial Shaping/Decortification;In-axis;Curved;Trapezoidal;No;No;None (left distal-lateral light use-wear on the tip);1;0;"40% right lateral cortex cover; unusual triangular point type 1 (expansion of reduction surface not intercalation)"
1241;An2-10-2-1;Triangular Point;Complete;Type 1;42;29;11;Dihedral;25;11;Absent;Diffuse;Acute pointed;Preparatory;In-axis;Curved;Triangular;No;No;None;1;1;"50% left-lateral cortext; platform blade that resembles other central triangular flake-blade products and/or alternate reduction on a close to 90degree core angle"
1100;ANS2-10-1-1;Triangular Point;Complete;Type 1;67;19;10;Plain;15;8;Absent;Pronounced;Acute pointed;Lateral product;Off-axis right;Twisted;Trapezoidal;Yes;Yes;None;1;0;Pseudo-tanged
1001;ANS2-10-1-1;Blade;Distal;Type 1;n/a;26;11;n/a;n/a;n/a;n/a;n/a;Acute pointed;Lateral product;Off-axis right;Twisted;Trapezoidal;Yes;No;Distal-bilateral;0;0;Very light retouch at both sides of the tip (use-wear?)
S19;An2-10-2-1;Blade;Distal;n/a;n/a;20;4;n/a;n/a;n/a;n/a;n/a;Acute pointed;n/a ;n/a;Straight;Trapezoidal;;;None;0;0;Blade tip fragment
S25;An2-10-2-1;Blade;Distal;n/a;n/a;15;2;n/a;n/a;n/a;n/a;n/a;Straight;n/a ;n/a;Slightly curved;Trapezoidal;No;No;None;0;0;
S42;An2-10-3-1 (wirklich IUP?);Blade;Distal;Type 3;n/a;13;6;n/a;n/a;n/a;n/a;n/a;Acute pointed;Overpass;In-axis;Curved;Triangular;Yes;No;None;0;0;Almost bladelet overshot (atypical)
60;An2-10-4-2;Blade;Distal;n/a;n/a;21;5;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;No;No;None;0;0;
91;An2-10-4-2;Blade;Distal;n/a;n/a;18;5;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Slightly curved;Triangular;No;No;None;0;0;
98;An2-10-4-2;Blade;Distal;Type 4;n/a;20;4;n/a;n/a;n/a;n/a;n/a;Straight;n/a ;In-axis;Hinged;Trapezoidal;No;No;None;0;0;Bidirectional scar pattern! With triangular cut scars coming from both sides (in-axis scar is also hinged perhaps indicating the preparory role of opposite platform reduction
100;An2-10-4-2;Blade;Distal;Type 3;n/a;20;7;n/a;n/a;n/a;n/a;n/a;Acute pointed;Overpass;In-axis;Slightly curved;Triangular;No;No;None;0;0;
104;An2-10-4-2;Blade;Distal;Type 3;n/a;15;3;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;Off-axis right;Twisted;Triangular;No;No;None;0;0;
137;An2-10-4-2;Blade;Distal;Type 3;n/a;13;3;n/a;n/a;n/a;n/a;n/a;Wide pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;
142;An2-10-4-2;Blade;Distal;n/a;n/a;17;6;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;n/a;Straight;Triangular;No;No;None;0;0;
144;An2-10-4-2;Blade;Distal;Type 3;n/a;15;4;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Hinged;Triangular;No;No;None;0;0;Hinged central blade removal in between two larger flakes or blades
145;An2-10-4-2;Blade;Distal;Type 4;n/a;13;5;n/a;n/a;n/a;n/a;n/a;Straight;Target central product;In-axis;Hinged;Triangular;No;Yes;None;0;0;Failed/hinged central bladelet to remove guiding ridge 
148;An2-10-4-2;Blade;Distal;Type 3;n/a;22;6;n/a;n/a;n/a;n/a;n/a;Wide pointed;Lateral product;In-axis;Hinged;Side blade/débordant;No;No;None;0;0;Edge product but not on cortex or natural surface
155;An2-10-4-2;Blade;Distal;n/a;n/a;13;3;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;Early central triangular product
160;An2-10-4-2;Blade;Distal;Type 4;n/a;18;5;n/a;n/a;n/a;n/a;n/a;Straight;Target central product;In-axis;Hinged;Triangular;No;No;None;0;0;Early failed bladed, hinged at intercalated production (evidence for flat reduction surfaces with almost exhausted convexities
169;An2-10-4-2;Blade;Distal;n/a;n/a;18;5;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Hinged;Triangular;No;No;None;0;0;Probably distal fragment of leaf-shaped/triangular intermediate product
172;An2-10-4-2;Blade;Distal;n/a;n/a;11;3;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;Off-axis left;Twisted;Triangular;No;No;None;0;0;Distal tip of former blade
173;An2-10-4-2;Blade;Distal;n/a;n/a;8;2;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;n/a;Twisted;Triangular;No;No;None;0;0;Distal tip, probably intercalated triangular product
192;An2-10-4-2;Blade;Distal;n/a;n/a;12;2;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;n/a;Straight;Trapezoidal;No;No;None;0;0;
195;An2-10-4-2;Blade;Distal;Type 3;n/a;16;4;n/a;n/a;n/a;n/a;n/a;Wide pointed;Target central product;In-axis;Twisted;Trapezoidal;No;No;None;0;0;
201;An2-10-4-2;Blade;Distal;n/a;n/a;21;5;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;n/a;Slightly curved;Trapezoidal;Yes;No;None;0;0;
232;An2-2011-1200;Blade;Distal;Type 4;n/a;25;5;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;In-axis;Straight;Trapezoidal;No;No;None;0;0;CLASSIC bidirectional scar pattern blade
233;An2-2011-1200;Blade;Distal;Type 3;n/a;15;5;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;n/a;Straight;Trapezoidal;No;No;None;0;0;
1222;ANS2-10-1-1;Blade;Distal;n/a;n/a;19;6;n/a;n/a;n/a;n/a;n/a;Acute pointed;n/a ;n/a;Slightly curved;Trapezoidal;n/a;n/a;None (light wear on the light side);0;0;Probably evidence for light-use of plain pointed blades
2049;An2-2011-1200;Blade;Distal;Type 4;n/a;29;9;n/a;n/a;n/a;n/a;n/a;Straight;Overpass;n/a;Twisted;Trapezoidal;Yes;No;Proximal burin on endscraper with stop notch;0;0;Burin blow probably failed because it did no reach the stop notch, most likely on advanced overpass blade, modification on proixmal end
105;An2-10-4-2;Blade;Distal;n/a;n/a;18;9;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;No;Single notch below the tip on the left lateral;0;0;Ad-hoc tool and broken while confecting? Blank was probably a central triangular point-type blank
165;An2-10-4-2;Blade;Distal;Type 4;n/a;16;6;n/a;n/a;n/a;n/a;n/a;Irregular;Lateral product;In-axis;Straight;Side blade/débordant;No;No;After-patina modification/use-wear on right-distal end (local truncation-like);1;0;Core-edge blade fragment with small portion of lateral cortex, dorsal patina
61;An2-10-4-2;Blade;Distal;Type 3;n/a;34;13;n/a;n/a;n/a;n/a;n/a;Acute pointed;Overpass;In-axis;Curved;Trapezoidal;Yes;Yes;None;1;0;Overshot removal of exhausted convexity (only short removals possible) with distal cortex (20%)
194;An2-10-4-2;Blade;Distal;n/a;n/a;15;3;n/a;n/a;n/a;n/a;n/a;Acute pointed;Lateral product;n/a;Slightly curved;Trapezoidal;Yes;No;None;1;0;Small lateral-distal (left) portion of cortex
199;An2-10-4-2;Blade;Distal;n/a;n/a;16;6;n/a;n/a;n/a;n/a;n/a;Acute pointed;Lateral product;n/a;Slightly curved;Triangular;No;No;None;1;0;Left lateral side covered with cortext (ca. 40%)
234;An2-2011-1200;Blade;Distal;Type 4;n/a;17;4;n/a;n/a;n/a;n/a;n/a;Curved;Target central product;n/a;Straight;Triangular;No;Yes;None;1;0;Distal cortext remnant, earlier broken blade (not all of the distal core cortext has been consumed yet)
245;An2-2011-1200;Blade;Distal;Type 4;n/a;14;4;n/a;n/a;n/a;n/a;n/a;Irregular;Overpass;n/a;Straight;Triangular;No;No;None;1;0;Distal slender overpass blade with cortex portion on distal end (<10%)
AN2-02;An2-10-2-1;Blade;Distal;n/a;n/a;22;9;n/a;n/a;n/a;n/a;n/a;Wide pointed;Lateral product;n/a;Slightly curved;Triangular;No;No;None;1;1;Cortical distal blade (>50%)
S20;An2-10-2-1;Blade;Distal;Type 2;n/a;21;10;n/a;n/a;n/a;n/a;n/a;Acute pointed;Overpass;n/a;Twisted;Triangular;No;Yes;None;1;1;Broken overshot blade with >50% cortex (early embedded shaping)
S21;An2-10-2-1;Blade;Distal;n/a;n/a;24;9;n/a;n/a;n/a;n/a;n/a;Acute pointed;Lateral product;n/a;Twisted;Triangular;No;Yes;None;1;1;>50% cortex
S35;An2-10-2-1;Blade;Distal;;n/a;18;6;n/a;n/a;n/a;n/a;n/a;Wide pointed;Initial Shaping/Decortification;n/a;Slightly curved;Trapezoidal;No;No;None;1;1;Cortical blade? Fragment (>50%)
63;An2-10-4-2;Blade;Distal;n/a;n/a;31;9;n/a;n/a;n/a;n/a;n/a;Acute pointed;Lateral product;In-axis;Hinged;Trapezoidal;Yes;No;None;1;1;Cortical distal triangle piece (80%) showing that bladelets are produced at the edge (adjacent to cortical) and clearance with cortical removal
99;An2-10-4-2;Blade;Distal;n/a;n/a;23;4;n/a;n/a;n/a;n/a;n/a;Acute pointed;Initial Shaping/Decortification;In-axis;Straight;Triangular;No;No;None;1;1;>50% cortex
205;An2-10-4-2;Blade ;Distal;n/a;n/a;15;2;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;
135;An2-10-4-2;Bladelet;Distal;n/a;n/a;9;2;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;In-axis;Straight;Trapezoidal;Yes;No;Distal modification (borer-like);0;0;Central bladelet with relatively parallel edges and smaller triangular scar on proximal part of preserved part, showing that stratight bladelets were also searched for - this one probably broke while being modified
186;An2-10-4-2;Bladelet;Distal;n/a;n/a;11;3;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;In-axis;Straight;Triangular;Yes;No;Distal-left truncation (partial, not entire distal length);0;0;Tip-broken while modifying? (could have been an oblique edge retouch to creat a pointed end)
S40;An2-10-2-1;Bladelet;Distal;;n/a;10;4;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;n/a;Straight;Triangular;Yes;No;None;0;0;Tip of a proper bladelet (or blade)
S50;An2-10-3-1 (wirklich IUP?);Bladelet;Distal;n/a;n/a;10;1;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;Distal bladelet fragment
86;An2-10-4-2;Bladelet;Distal;Type 3;n/a;12;2;n/a;n/a;n/a;n/a;n/a;Acute pointed;n/a ;Off-axis right;Hinged;Triangular;No;No;None;0;0;
92;An2-10-4-2;Bladelet;Distal;Type 3;n/a;9;3;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Slightly curved;Triangular;No;Yes;None;0;0;Distal bladelet-like negative coming from the other side!
94;An2-10-4-2;Bladelet;Distal;Type 2;n/a;7;3;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;Off-axis left;Straight;Trapezoidal;Yes;No;None;0;0;Distal fragment of central bladelet with two foregoing small triangular bladelet-like products
106;An2-10-4-2;Bladelet;Distal;Type 3;n/a;9;3;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;Off-axis right;Twisted;Triangular;No;No;None;0;0;Distal fragment of elongated intercalated bladelet or core-edge bladelet
107;An2-10-4-2;Bladelet;Distal;Type 3;n/a;7;2;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Twisted;Triangular;No;No;None;0;0;
185;An2-10-4-2;Bladelet;Distal;n/a;n/a;6;2;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;n/a;Straight;Triangular;No;No;None;0;0;Probably tip of triangular bladelet point
193;An2-10-4-2;Bladelet;Distal;n/a;n/a;6;2;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;n/a;Straight;Trapezoidal;No;No;None;0;0;Microbladelet fragment
212;An2-10-4-2;Bladelet;Distal;n/a;n/a;9;2;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;n/a;Straight;Triangular;No;No;None;0;0;
143;An2-10-4-2;Bladelet;Distal;n/a;n/a;11;2;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None (distal impact fracture);0;0;Retooling evidence?
124;An2-10-4-2;Bladelet;Distal;Type 4;n/a;12;3;n/a;n/a;n/a;n/a;n/a;Straight;Target central product;In-axis;Hinged;Triangular;No;No;"None (two opposite ""notches"" below distal hinge and above breakage point suggesting binding or hafting and ""Sollbruchstelle"", but these are probably use-related and not real modifications)";0;0;Perhaps GOOD example of plain-use logic here…. PLUS hinged objects as anticipated and used
136;An2-10-4-2;Bladelet;Distal;Type 4;n/a;10;3;n/a;n/a;n/a;n/a;n/a;Straight;Lateral product;In-axis;Hinged;Trapezoidal;No;No;None;1;0;Non-typical bladelet-like blank, byproduct of lateral expansion of reduction surface
215;An2-10-4-2;Bladelet;Distal;Type 4;n/a;12;3;n/a;n/a;n/a;n/a;n/a;n/a;Lateral product;n/a;Twisted;Triangular;No;No;None;1;0;"Early ""bladelet"" with cortex (ca. 40%)"
