ID;Contex/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortex/natural surface (in general);Cortical piece (>50%);Other comments
176;An2-10-4-2;Blade;Proximal;n/a;n/a;13;5;Plain;12;5;Abrasion;Diffuse;n/a;Target central product;In-axis;Twisted;Trapezoidal;No;Yes;None;0;0;Hinged dorsal triangular scar has removed overhang
201;An2-10-4-2;Blade;Proximal;n/a;n/a;13;6;Plain;12;4;Absent;Diffuse;n/a;Target central product;In-axis;Twisted;Triangular;No;No;None;0;0;
204;An2-10-4-2;Blade;Proximal;n/a;n/a;21;4;Plain;10;4;Flaking;Diffuse;n/a;Target central product;In-axis;Slightly curved;Trapezoidal;No;No;None;0;0;
211;An2-10-4-2;Blade;Proximal;n/a;n/a;13;2;Linear;6;1;Flaking;Diffuse;n/a;Target central product;In-axis;Twisted;Triangular;No;No;None;0;0;
216;An2-10-4-2;Blade;Proximal;Type 1;n/a;21;6;Plain;21;6;Absent;Pronounced;n/a;Target central product;In-axis;Straight;Trapezoidal;No;No;None;0;0;Refits with 217
217;An2-10-4-2;Blade;Proximal;n/a;n/a;18;4;Plain;18;4;Flaking;Diffuse;n/a;Target central product;Off-axis left;Twisted;Trapezoidal;Yes;No;None;0;0;Refits with 216
228;An2-2011-1200;Blade;Proximal;n/a;n/a;22;9;Plain;13;7;Abrasion;Diffuse;n/a;Target central product;Off-axis right;Twisted;Trapezoidal;No;No;None;0;0;
231;An2-2011-1200;Blade;Proximal;n/a;n/a;23;10;Plain;18;10;Absent;Diffuse;n/a;Target central product;Off-axis left;Straight;Triangular;No;No;None;0;0;
239;An2-2011-1200;Blade;Proximal;n/a;n/a;16;5;Plain;10;5;Absent;Diffuse;n/a;Target central product;Off-axis left;Straight;Trapezoidal;No;No;None;0;0;
226;An2-2011-1200;Blade;Proximal;Type 2;n/a;18;7;Shattered;n/a;n/a;Flaking;n/a;Acute pointed;Target central product;Off-axis right;Straight;Trapezoidal;Yes;No;None (Left proximal-lateral use-wear);0;0;Use of plain blades (intercalated products with Y-scar structure)
108;An2-10-4-2;Blade;Proximal;n/a;n/a;18;5;Plain;18;4;Flaking;Pronounced;n/a;Target central product;In-axis;Twisted;Trapezoidal;No;No;Two notches alternating from dorsal and ventral on the right-proximal lateral;0;0;
1576;ANS2-10-1-1;Blade;Proximal;n/a;n/a;28;12;Dihedral;10;4;Abrasion;Diffuse;n/a;n/a ;n/a;Slightly curved;Triangular;No;No;None;1;0;Partial left-lateral cortex cover
1522;An2-10-2-1;Blade;Proximal;n/a;n/a;23;9;Linear;14;1;Absent;Diffuse;n/a;Lateral product;n/a;Twisted;Side blade/débordant;No;No;None;1;0;Small portion of disto-right cortex
